iter	Passed	Remaining
0	168	168089
1	191	95725
2	214	71176
3	237	59230
4	259	51619
5	280	46491
6	305	43396
7	327	40567
8	350	38639
9	373	36996
10	393	35338
11	411	33874
12	432	32865
13	455	32084
14	478	31410
15	500	30802
16	524	30329
17	544	29679
18	563	29114
19	584	28618
20	606	28252
21	625	27803
22	644	27362
23	664	27015
24	684	26697
25	704	26392
26	728	26241
27	750	26059
28	772	25876
29	794	25687
30	814	25456
31	835	25275
32	854	25029
33	873	24827
34	891	24577
35	909	24352
36	928	24167
37	949	24045
38	971	23933
39	994	23875
40	1016	23787
41	1037	23659
42	1056	23516
43	1076	23378
44	1095	23256
45	1116	23156
46	1133	22988
47	1151	22829
48	1169	22698
49	1188	22578
50	1206	22441
51	1224	22329
52	1241	22178
53	1257	22030
54	1278	21967
55	1301	21935
56	1326	21943
57	1357	22051
58	1388	22150
59	1416	22195
60	1443	22220
61	1469	22225
62	1492	22194
63	1514	22148
64	1535	22081
65	1556	22026
66	1579	22000
67	1603	21982
68	1626	21942
69	1648	21901
70	1688	22096
71	1709	22034
72	1730	21976
73	1748	21881
74	1768	21811
75	1787	21726
76	1808	21673
77	1827	21601
78	1847	21533
79	1866	21459
80	1883	21370
81	1902	21296
82	1923	21250
83	1945	21216
84	1966	21163
85	1986	21113
86	2007	21066
87	2026	20997
88	2044	20923
89	2061	20848
90	2083	20807
91	2102	20749
92	2120	20680
93	2139	20620
94	2159	20571
95	2178	20516
96	2199	20477
97	2222	20453
98	2247	20456
99	2269	20424
100	2287	20361
101	2306	20308
102	2326	20257
103	2343	20192
104	2363	20141
105	2381	20087
106	2399	20026
107	2418	19977
108	2440	19950
109	2461	19916
110	2483	19888
111	2504	19855
112	2525	19823
113	2544	19773
114	2578	19846
115	2599	19809
116	2617	19756
117	2636	19707
118	2657	19671
119	2680	19655
120	2700	19615
121	2724	19607
122	2749	19600
123	2777	19623
124	2804	19628
125	2828	19621
126	2852	19605
127	2872	19571
128	2894	19541
129	2913	19500
130	2932	19454
131	2951	19410
132	2971	19370
133	2995	19359
134	3018	19339
135	3042	19330
136	3063	19300
137	3084	19266
138	3109	19260
139	3133	19246
140	3155	19223
141	3178	19203
142	3199	19175
143	3219	19140
144	3240	19105
145	3260	19073
146	3280	19038
147	3298	18989
148	3321	18969
149	3344	18950
150	3367	18935
151	3391	18923
152	3413	18899
153	3433	18862
154	3452	18822
155	3473	18791
156	3493	18756
157	3512	18719
158	3532	18684
159	3556	18674
160	3577	18641
161	3597	18609
162	3619	18587
163	3643	18570
164	3665	18549
165	3688	18531
166	3709	18502
167	3731	18480
168	3755	18465
169	3778	18447
170	3801	18427
171	3821	18397
172	3841	18363
173	3861	18330
174	3882	18302
175	3901	18267
176	3920	18229
177	3940	18195
178	3959	18162
179	3979	18127
180	3997	18088
181	4017	18056
182	4038	18031
183	4059	18002
184	4080	17975
185	4099	17941
186	4118	17905
187	4137	17872
188	4158	17845
189	4177	17809
190	4196	17772
191	4214	17737
192	4233	17702
193	4252	17667
194	4270	17628
195	4287	17588
196	4305	17551
197	4322	17507
198	4340	17471
199	4360	17443
200	4380	17414
201	4402	17391
202	4424	17369
203	4447	17353
204	4467	17324
205	4486	17291
206	4505	17259
207	4524	17228
208	4542	17193
209	4561	17158
210	4581	17131
211	4599	17095
212	4617	17059
213	4635	17024
214	4655	16996
215	4674	16967
216	4693	16934
217	4711	16900
218	4729	16866
219	4747	16831
220	4766	16803
221	4787	16776
222	4804	16742
223	4823	16709
224	4840	16673
225	4857	16636
226	4876	16605
227	4893	16570
228	4911	16537
229	4929	16502
230	4947	16470
231	4965	16435
232	4982	16402
233	5000	16368
234	5019	16338
235	5037	16307
236	5056	16278
237	5074	16245
238	5091	16211
239	5109	16180
240	5127	16147
241	5144	16113
242	5163	16086
243	5181	16053
244	5200	16025
245	5216	15990
246	5235	15961
247	5254	15931
248	5271	15899
249	5289	15867
250	5306	15834
251	5323	15801
252	5342	15773
253	5360	15743
254	5377	15710
255	5395	15679
256	5413	15652
257	5431	15620
258	5448	15589
259	5464	15553
260	5483	15525
261	5506	15510
262	5528	15491
263	5546	15463
264	5567	15442
265	5587	15418
266	5604	15386
267	5621	15354
268	5640	15327
269	5658	15300
270	5681	15283
271	5700	15256
272	5717	15226
273	5737	15201
274	5755	15174
275	5776	15151
276	5794	15125
277	5814	15100
278	5833	15075
279	5852	15049
280	5873	15029
281	5895	15010
282	5913	14981
283	5931	14953
284	5949	14926
285	5967	14898
286	5984	14868
287	6003	14842
288	6021	14813
289	6039	14786
290	6058	14761
291	6077	14735
292	6095	14707
293	6113	14679
294	6131	14652
295	6148	14624
296	6166	14596
297	6183	14566
298	6200	14537
299	6216	14506
300	6238	14486
301	6258	14465
302	6277	14440
303	6297	14417
304	6319	14399
305	6339	14377
306	6359	14356
307	6375	14324
308	6393	14296
309	6414	14276
310	6432	14250
311	6450	14224
312	6470	14202
313	6492	14183
314	6522	14184
315	6545	14167
316	6563	14142
317	6584	14121
318	6604	14099
319	6624	14076
320	6643	14053
321	6663	14030
322	6681	14005
323	6704	13989
324	6725	13967
325	6744	13944
326	6766	13925
327	6785	13901
328	6804	13877
329	6823	13852
330	6841	13827
331	6860	13802
332	6878	13777
333	6898	13756
334	6920	13738
335	6940	13714
336	6960	13693
337	6979	13669
338	7000	13649
339	7019	13626
340	7047	13619
341	7071	13606
342	7094	13589
343	7113	13564
344	7134	13544
345	7154	13523
346	7174	13502
347	7195	13481
348	7215	13459
349	7233	13433
350	7253	13412
351	7275	13393
352	7292	13366
353	7312	13343
354	7331	13319
355	7351	13298
356	7370	13274
357	7391	13254
358	7408	13228
359	7426	13202
360	7444	13177
361	7463	13153
362	7480	13127
363	7498	13101
364	7517	13077
365	7538	13057
366	7556	13033
367	7574	13008
368	7593	12984
369	7610	12958
370	7628	12932
371	7646	12908
372	7664	12884
373	7681	12857
374	7700	12833
375	7718	12809
376	7737	12785
377	7755	12762
378	7774	12738
379	7792	12713
380	7810	12690
381	7827	12663
382	7845	12639
383	7865	12617
384	7883	12592
385	7901	12568
386	7918	12543
387	7935	12517
388	7954	12493
389	7971	12468
390	7989	12444
391	8011	12425
392	8032	12406
393	8054	12388
394	8073	12365
395	8090	12339
396	8108	12315
397	8127	12293
398	8145	12269
399	8164	12246
400	8183	12224
401	8201	12200
402	8218	12174
403	8236	12150
404	8256	12130
405	8275	12107
406	8295	12086
407	8313	12062
408	8331	12038
409	8349	12014
410	8367	11990
411	8385	11967
412	8401	11940
413	8419	11916
414	8435	11891
415	8453	11866
416	8469	11841
417	8487	11816
418	8506	11794
419	8524	11771
420	8541	11747
421	8559	11723
422	8577	11699
423	8597	11679
424	8616	11656
425	8634	11634
426	8652	11611
427	8670	11587
428	8689	11566
429	8709	11545
430	8730	11525
431	8748	11503
432	8768	11482
433	8788	11461
434	8807	11439
435	8826	11417
436	8844	11395
437	8863	11372
438	8879	11347
439	8897	11324
440	8914	11300
441	8932	11277
442	8951	11255
443	8970	11232
444	8989	11212
445	9008	11189
446	9026	11166
447	9044	11144
448	9062	11121
449	9080	11098
450	9097	11074
451	9114	11049
452	9131	11026
453	9150	11004
454	9167	10981
455	9184	10957
456	9202	10933
457	9221	10912
458	9240	10890
459	9257	10867
460	9275	10845
461	9293	10822
462	9310	10798
463	9327	10775
464	9346	10753
465	9366	10733
466	9385	10712
467	9404	10690
468	9422	10667
469	9441	10647
470	9461	10626
471	9480	10604
472	9497	10581
473	9516	10560
474	9538	10542
475	9559	10523
476	9576	10500
477	9593	10476
478	9610	10453
479	9630	10433
480	9648	10410
481	9667	10389
482	9685	10367
483	9704	10345
484	9725	10326
485	9742	10303
486	9760	10281
487	9778	10259
488	9797	10238
489	9815	10215
490	9832	10192
491	9850	10171
492	9868	10148
493	9887	10128
494	9906	10106
495	9923	10083
496	9940	10060
497	9957	10037
498	9974	10014
499	9991	9991
500	10008	9968
501	10025	9945
502	10042	9922
503	10060	9901
504	10079	9879
505	10096	9857
506	10114	9835
507	10132	9813
508	10149	9790
509	10168	9769
510	10186	9747
511	10203	9725
512	10221	9703
513	10240	9682
514	10257	9660
515	10276	9638
516	10294	9617
517	10314	9597
518	10331	9575
519	10350	9554
520	10368	9532
521	10386	9511
522	10403	9488
523	10420	9465
524	10439	9444
525	10457	9423
526	10475	9402
527	10493	9380
528	10509	9357
529	10530	9337
530	10548	9316
531	10565	9294
532	10584	9274
533	10602	9252
534	10619	9229
535	10636	9207
536	10655	9186
537	10674	9166
538	10693	9146
539	10712	9125
540	10732	9105
541	10753	9086
542	10771	9065
543	10789	9044
544	10806	9022
545	10825	9001
546	10842	8979
547	10861	8958
548	10880	8938
549	10899	8917
550	10918	8897
551	10938	8877
552	10958	8857
553	10977	8837
554	10999	8819
555	11021	8801
556	11041	8781
557	11063	8763
558	11081	8742
559	11100	8722
560	11123	8704
561	11143	8684
562	11164	8666
563	11182	8644
564	11200	8623
565	11220	8603
566	11240	8584
567	11260	8564
568	11280	8544
569	11299	8524
570	11317	8503
571	11335	8482
572	11354	8461
573	11374	8441
574	11392	8420
575	11410	8399
576	11437	8384
577	11462	8369
578	11490	8355
579	11532	8351
580	11596	8362
581	11640	8360
582	11681	8355
583	11707	8339
584	11728	8320
585	11749	8300
586	11770	8281
587	11790	8261
588	11807	8239
589	11826	8218
590	11848	8199
591	11865	8177
592	11882	8155
593	11901	8134
594	11917	8112
595	11936	8090
596	11953	8069
597	11971	8047
598	11988	8025
599	12006	8004
600	12023	7982
601	12055	7970
602	12083	7955
603	12105	7936
604	12125	7916
605	12149	7899
606	12171	7880
607	12190	7859
608	12212	7841
609	12234	7822
610	12255	7802
611	12272	7780
612	12290	7759
613	12308	7737
614	12325	7716
615	12344	7695
616	12365	7675
617	12384	7655
618	12403	7634
619	12420	7612
620	12439	7591
621	12458	7571
622	12476	7550
623	12495	7529
624	12514	7508
625	12535	7489
626	12553	7468
627	12570	7446
628	12589	7425
629	12610	7406
630	12631	7386
631	12650	7366
632	12667	7344
633	12687	7324
634	12705	7303
635	12724	7282
636	12744	7262
637	12763	7242
638	12782	7221
639	12800	7200
640	12816	7178
641	12835	7157
642	12853	7136
643	12870	7114
644	12893	7096
645	12912	7075
646	12932	7055
647	12949	7034
648	12966	7012
649	12985	6992
650	13008	6973
651	13030	6955
652	13050	6934
653	13069	6914
654	13091	6895
655	13110	6875
656	13130	6855
657	13148	6834
658	13167	6813
659	13188	6794
660	13208	6773
661	13225	6752
662	13245	6732
663	13263	6711
664	13284	6692
665	13326	6683
666	13357	6668
667	13379	6649
668	13402	6631
669	13424	6612
670	13447	6593
671	13469	6574
672	13500	6559
673	13523	6541
674	13544	6521
675	13562	6500
676	13581	6479
677	13599	6458
678	13619	6438
679	13640	6418
680	13659	6398
681	13679	6378
682	13700	6358
683	13719	6338
